22,4960,2255,4548,333.8225806451613
21,4907,2308,4142,327.18483798654984
33,24,3281,3934,2720,194.66565071624504
35,20,3193,4022,2647,186.2618227372377
34,20,3239,3976,2696,188.9218894720593
27,20,3923,3292,3250,245.88886056589345
36,22,3163,4052,2612,181.63831805248182
39,22,3088,4127,2569,165.38860103626942
37,21,3147,4068,2607,176.7175087384811
40,24,2630,4585,2325,155.7338403041825
24,16,4259,2956,3597,294.28833059403615
31,27,3427,3788,2739,231.11526116136562
32,24,3396,3819,2729,223.75795053003534
21,17,4521,2694,3865,310.55120548551207
30,22,3551,3664,2843,230.25457617572513
13,20,5244,1971,5052,366.26887871853546
29,22,3585,3630,2962,236.77433751743376
25,16,4229,2986,3586,281.02861196500356
38,23,3123,4092,2597,173.11303234069806
17,22,4960,2255,4548,333.8225806451613
28,20,3857,3358,3198,234.65335753176043
18,21,4907,2308,4142,327.18483798654984
22,18,4481,2734,3801,300.3691140370453
26,20,3979,3236,3312,264.07740638351345
19,21,4723,2492,3950,329.79928011856873
23,18,4320,2895,3653,296.4888888888889
15,17,5059,2156,4705,352.6372800948804
10,18,5738,1477,5526,391.1627744858836
12,17,5374,1841,5197,373.5980647562337
16,19,5004,2211,4604,344.6163069544364
9,22,5921,1294,5683,420.05843607498736
20,21,4701,2514,3932,317.1452882365454
7,12,6180,1035,6083,508.1012944983819
14,20,5174,2041,4751,358.7541553923463
11,17,5560,1655,5346,375.97661870503595
5,12,6425,790,6282,748.308793774319
8,20,6073,1142,5907,454.2822328338548
6,11,6264,951,6205,603.3796296296297
4,15,6591,624,6415,832.306781975421
3,16,6672,543,6506,969.468824940048
1,1,7215,0,7215,1715.5248787248788
2,9,6945,270,6805,1150.5618430525558
21,4723,2492,3950,329.79928011856873
42,19,2457,4758,2163,154.83353683353684
43,20,2147,5068,1954,161.57335817419656
41,22,2524,4691,2220,156.48335974643422
47,18,1687,5528,1375,108.93775933609959
48,17,1678,5537,1363,106.97497020262217
46,19,1704,5511,1385,112.57276995305165
50,19,1553,5662,1164,104.77913715389569
55,20,1442,5773,1050,101.07073509015257
45,21,1776,5439,1592,115.03265765765765
62,21,1224,5991,821,91.74509803921569
44,23,1804,5411,1604,117.39024390243902
49,18,1618,5597,1329,103.97404202719407
52,18,1472,5743,1071,103.5258152173913
63,21,1179,6036,773,90.31891433418151
59,22,1288,5927,844,100.93167701863354
51,18,1521,5694,1124,103.47666009204471
53,18,1462,5753,1065,102.07113543091656
57,20,1326,5889,939,100.88536953242836
64,20,1136,6079,737,91.12147887323944
54,22,1461,5754,1057,101.13620807665983
56,20,1384,5831,993,100.24421965317919
61,19,1230,5985,831,93.75121951219512
71,22,896,6319,386,76.671875
60,21,1253,5962,839,93.67597765363128
70,23,901,6314,445,76.93895671476137
65,19,978,6237,732,82.85276073619632
58,20,1297,5918,855,101.87972243639167
66,18,976,6239,732,80.82581967213115
69,22,904,6311,598,77.30973451327434
67,19,962,6253,653,81.52598752598753
74,26,793,6422,374,66.79445145018916
72,24,869,6346,383,72.70425776754891
73,26,795,6420,376,67.06666666666666
68,21,951,6264,641,79.63196635120926
76,24,756,6459,373,69.04761904761905
75,26,777,6438,373,67.57786357786358
78,22,742,6473,368,69.66037735849056
77,23,750,6465,369,69.42666666666666
79,22,742,6473,368,69.59299191374663
80,22,737,6478,365,69.82903663500679
21,4701,2514,3932,317.1452882365454
85,18,662,6553,352,71.76737160120845
88,15,627,6588,332,74.39553429027113
89,14,622,6593,331,74.42443729903538
83,21,673,6542,355,71.01040118870728
82,22,693,6522,363,69.46031746031746
81,23,701,6514,363,68.79315263908701
86,17,658,6557,351,71.92401215805471
84,20,670,6545,355,71.0955223880597
87,17,648,6567,342,72.28703703703704
90,12,596,6619,330,77.08053691275168
91,12,582,6633,327,78.61855670103093
94,11,491,6724,321,78.37881873727088
95,11,476,6739,306,80.26050420168067
96,11,473,6742,304,80.65961945031712
97,11,470,6745,301,81.1404255319149
92,14,511,6704,321,75.67514677103718
98,11,468,6747,297,81.45726495726495
99,12,442,6773,297,84.57466063348416
102,11,361,6854,220,33.94459833795014
103,12,357,6858,214,31.551820728291318
100,12,438,6777,294,85.2420091324201
101,12,367,6848,224,39.35149863760218
105,11,273,6942,134,29.706959706959708
104,12,324,6891,183,30.746913580246915
110,14,177,7038,51,26.96045197740113
113,16,146,7069,45,19.986301369863014
108,14,212,7003,78,28.150943396226417
107,12,225,6990,88,27.386666666666667
106,12,259,6956,119,30.486486486486488
112,15,169,7046,49,27.65680473372781
109,13,196,7019,70,27.79591836734694
114,16,143,7072,45,20.06993006993007
115,17,136,7079,45,20.264705882352942
119,16,128,7087,45,20.671875
117,15,130,7085,45,20.753846153846155
121,16,125,7090,45,21.008
120,16,127,7088,45,20.771653543307085
122,16,124,7091,45,20.661290322580644
125,15,119,7096,45,20.92436974789916
123,15,122,7093,45,20.737704918032787
17,4521,2694,3865,310.55120548551207
126,13,112,7103,45,21.821428571428573
127,13,105,7110,45,22.4
128,13,105,7110,45,22.133333333333333
129,12,103,7112,45,22.446601941747574
131,12,101,7114,45,22.495049504950494
132,11,98,7117,45,23.081632653061224
130,12,103,7112,45,22.233009708737864
133,9,93,7122,45,24.21505376344086
134,9,93,7122,45,24.107526881720432
135,10,88,7127,45,24.65909090909091
144,9,77,7138,45,27.246753246753247
141,8,78,7137,45,27.05128205128205
139,10,84,7131,45,25.333333333333332
143,9,77,7138,45,27.2987012987013
142,9,78,7137,45,26.974358974358974
136,10,88,7127,45,24.568181818181817
150,7,45,7170,17,4.8
147,7,71,7144,45,29.380281690140844
148,7,71,7144,45,29.380281690140844
145,8,74,7141,45,28.2972972972973
146,7,72,7143,45,29.0
151,9,45,7170,9,4.533333333333333
159,9,33,7182,8,3.1515151515151514
149,7,71,7144,45,29.380281690140844
152,8,41,7174,9,4.341463414634147
154,8,35,7180,8,3.4857142857142858
161,10,33,7182,8,3.090909090909091
153,8,36,7179,8,3.5
158,9,34,7181,8,3.176470588235294
164,8,28,7187,7,2.2142857142857144
165,7,25,7190,7,1.92
157,9,35,7180,8,3.3142857142857145
170,7,22,7193,5,1.8181818181818181
163,8,29,7186,8,3.2413793103448274
162,9,31,7184,8,3.225806451612903
174,7,20,7195,4,1.7
167,7,23,7192,6,1.9130434782608696
175,6,17,7198,4,1.6470588235294117
177,6,17,7198,4,1.5294117647058822
183,4,11,7204,4,1.6363636363636365
18,4481,2734,3801,300.3691140370453
185,4,11,7204,4,1.6363636363636365
186,4,11,7204,4,1.6363636363636365
187,3,9,7206,4,1.7777777777777777
194,2,6,7209,4,1.6666666666666667
189,2,6,7209,4,1.6666666666666667
204,1,3,7212,3,2.0
203,1,3,7212,3,2.0
199,1,3,7212,3,2.0
196,2,6,7209,4,1.6666666666666667
205,1,3,7212,3,2.0
211,1,3,7212,3,2.0
18,4320,2895,3653,296.4888888888889
16,4259,2956,3597,294.28833059403615
16,4229,2986,3586,281.02861196500356
20,3979,3236,3312,264.07740638351345
20,3923,3292,3250,245.88886056589345
20,3857,3358,3198,234.65335753176043
22,3585,3630,2962,236.77433751743376
22,3551,3664,2843,230.25457617572513
27,3427,3788,2739,231.11526116136562
24,3396,3819,2729,223.75795053003534
24,3281,3934,2720,194.66565071624504
20,3239,3976,2696,188.9218894720593
20,3193,4022,2647,186.2618227372377
22,3163,4052,2612,181.63831805248182
21,3147,4068,2607,176.7175087384811
23,3123,4092,2597,173.11303234069806
22,3088,4127,2569,165.38860103626942
24,2630,4585,2325,155.7338403041825
22,2524,4691,2220,156.48335974643422
19,2457,4758,2163,154.83353683353684
20,2147,5068,1954,161.57335817419656
23,1804,5411,1604,117.39024390243902
21,1776,5439,1592,115.03265765765765
19,1704,5511,1385,112.57276995305165
18,1687,5528,1375,108.93775933609959
17,1678,5537,1363,106.97497020262217
18,1618,5597,1329,103.97404202719407
19,1553,5662,1164,104.77913715389569
18,1521,5694,1124,103.47666009204471
18,1472,5743,1071,103.5258152173913
18,1462,5753,1065,102.07113543091656
22,1461,5754,1057,101.13620807665983
20,1442,5773,1050,101.07073509015257
20,1384,5831,993,100.24421965317919
20,1326,5889,939,100.88536953242836
20,1297,5918,855,101.87972243639167
22,1288,5927,844,100.93167701863354
21,1253,5962,839,93.67597765363128
19,1230,5985,831,93.75121951219512
21,1224,5991,821,91.74509803921569
21,1179,6036,773,90.31891433418151
20,1136,6079,737,91.12147887323944
19,978,6237,732,82.85276073619632
18,976,6239,732,80.82581967213115
19,962,6253,653,81.52598752598753
21,951,6264,641,79.63196635120926
22,904,6311,598,77.30973451327434
23,901,6314,445,76.93895671476137
22,896,6319,386,76.671875
24,869,6346,383,72.70425776754891
26,795,6420,376,67.06666666666666
26,793,6422,374,66.79445145018916
26,777,6438,373,67.57786357786358
24,756,6459,373,69.04761904761905
23,750,6465,369,69.42666666666666
22,742,6473,368,69.66037735849056
22,742,6473,368,69.59299191374663
22,737,6478,365,69.82903663500679
23,701,6514,363,68.79315263908701
22,693,6522,363,69.46031746031746
21,673,6542,355,71.01040118870728
20,670,6545,355,71.0955223880597
18,662,6553,352,71.76737160120845
17,658,6557,351,71.92401215805471
17,648,6567,342,72.28703703703704
15,627,6588,332,74.39553429027113
14,622,6593,331,74.42443729903538
12,596,6619,330,77.08053691275168
12,582,6633,327,78.61855670103093
14,511,6704,321,75.67514677103718
11,491,6724,321,78.37881873727088
11,476,6739,306,80.26050420168067
11,473,6742,304,80.65961945031712
11,470,6745,301,81.1404255319149
11,468,6747,297,81.45726495726495
12,442,6773,297,84.57466063348416
12,438,6777,294,85.2420091324201
12,367,6848,224,39.35149863760218
11,361,6854,220,33.94459833795014
12,357,6858,214,31.551820728291318
12,324,6891,183,30.746913580246915
11,273,6942,134,29.706959706959708
12,259,6956,119,30.486486486486488
12,225,6990,88,27.386666666666667
